task,leg,metric,reference,baseline,n_queries,reference_mean,baseline_mean,delta,ci_low,ci_high,p_raw,p_holm,cliffs_delta
t1,BGL->spirit_first20M,label_hit@1,SMA,BM25,1000,0.6360,0.5480,0.0880,0.0340,0.1400,0.003400,0.010199,0.0880
t1,BGL->spirit_first20M,label_hit@1,SMA,Dense RAG,1000,0.6360,0.5090,0.1270,0.0830,0.1690,0.000200,0.001200,0.1270
t1,BGL->spirit_first20M,label_hit@1,SMA,HippoRAG,1000,0.6360,0.5520,0.0840,0.0320,0.1360,0.001600,0.006399,0.0840
t1,BGL->spirit_first20M,label_hit@1,SMA,Hybrid+Rerank,1000,0.6360,0.5950,0.0410,-0.0080,0.0890,0.097990,0.195980,0.0410
t1,BGL->spirit_first20M,label_hit@1,SMA,Hybrid-RRF,1000,0.6360,0.6160,0.0200,-0.0290,0.0680,0.452355,0.452355,0.0200
t1,BGL->spirit_first20M,label_hit@1,SMA,KG-PPR Proxy,1000,0.6360,0.5390,0.0970,0.0640,0.1300,0.000200,0.001200,0.0970
t1,BGL->thunderbird_first20M,label_hit@1,SMA,BM25,1000,0.8790,0.5980,0.2810,0.2430,0.3190,0.000200,0.001200,0.2810
t1,BGL->thunderbird_first20M,label_hit@1,SMA,Dense RAG,1000,0.8790,0.7120,0.1670,0.1340,0.2000,0.000200,0.001200,0.1670
t1,BGL->thunderbird_first20M,label_hit@1,SMA,HippoRAG,1000,0.8790,0.7500,0.1290,0.0970,0.1600,0.000200,0.001200,0.1290
t1,BGL->thunderbird_first20M,label_hit@1,SMA,Hybrid+Rerank,1000,0.8790,0.5420,0.3370,0.2990,0.3740,0.000200,0.001200,0.3370
t1,BGL->thunderbird_first20M,label_hit@1,SMA,Hybrid-RRF,1000,0.8790,0.6050,0.2740,0.2390,0.3110,0.000200,0.001200,0.2740
t1,BGL->thunderbird_first20M,label_hit@1,SMA,KG-PPR Proxy,1000,0.8790,0.6010,0.2780,0.2480,0.3090,0.000200,0.001200,0.2780
t1,HDFS->OpenStack,label_hit@1,SMA,BM25,1000,0.5000,0.5000,0.0000,0.0000,0.0000,1.000000,1.000000,0.0000
t1,HDFS->OpenStack,label_hit@1,SMA,Dense RAG,1000,0.5000,0.5060,-0.0060,-0.0460,0.0340,0.791521,1.000000,-0.0060
t1,HDFS->OpenStack,label_hit@1,SMA,HippoRAG,1000,0.5000,0.5000,0.0000,0.0000,0.0000,1.000000,1.000000,0.0000
t1,HDFS->OpenStack,label_hit@1,SMA,Hybrid+Rerank,1000,0.5000,0.5410,-0.0410,-0.0820,0.0000,0.054195,0.325167,-0.0410
t1,HDFS->OpenStack,label_hit@1,SMA,Hybrid-RRF,1000,0.5000,0.4980,0.0020,-0.0030,0.0070,0.556344,1.000000,0.0020
t1,HDFS->OpenStack,label_hit@1,SMA,KG-PPR Proxy,1000,0.5000,0.4990,0.0010,-0.0370,0.0410,0.989701,1.000000,0.0010
