dataset,split,method,macro_f1,label_hit_rate@1,label_hit_rate@5,label_hit_rate@10,p50_ms,p95_ms
LogHub,BGL->spirit_first20M[seed201][surprisal],SMA,0.8640,0.8700,0.7630,0.6715,311.299,650.676
LogHub,BGL->spirit_first20M[seed201][surprisal],BM25,0.3940,0.5600,0.5040,0.5115,9.598,33.118
LogHub,BGL->spirit_first20M[seed201][surprisal],Dense RAG,0.4875,0.6500,0.4800,0.4430,20.923,28.147
LogHub,BGL->spirit_first20M[seed201][surprisal],KG-PPR Proxy,0.8843,0.5000,0.8210,0.7780,3.869,7.946
LogHub,BGL->spirit_first20M[seed201][surprisal],HippoRAG,0.7688,0.5000,0.6490,0.6950,240.090,665.531
LogHub,BGL->spirit_first20M[seed201][surprisal],Hybrid-RRF,0.4964,0.6100,0.5500,0.4900,34.502,56.673
LogHub,BGL->spirit_first20M[seed201][surprisal],Hybrid+Rerank,0.5290,0.5100,0.5220,0.5035,963.235,1155.730
LogHub,BGL->thunderbird_first20M[seed201][surprisal],SMA,0.7150,0.8850,0.7580,0.6975,720.765,1331.309
LogHub,BGL->thunderbird_first20M[seed201][surprisal],BM25,0.4915,0.5650,0.5030,0.6190,89.999,141.502
LogHub,BGL->thunderbird_first20M[seed201][surprisal],Dense RAG,0.7630,0.7650,0.7900,0.8105,28.913,38.456
LogHub,BGL->thunderbird_first20M[seed201][surprisal],KG-PPR Proxy,0.7150,0.5000,0.7260,0.6990,10.521,15.116
LogHub,BGL->thunderbird_first20M[seed201][surprisal],HippoRAG,0.8412,0.8500,0.5820,0.4800,239.319,711.578
LogHub,BGL->thunderbird_first20M[seed201][surprisal],Hybrid-RRF,0.6800,0.7350,0.6480,0.6585,117.884,179.347
LogHub,BGL->thunderbird_first20M[seed201][surprisal],Hybrid+Rerank,0.5625,0.5050,0.6440,0.7415,1024.054,1114.217
LogHub,HDFS->OpenStack[seed201][surprisal],SMA,0.3333,0.5000,0.5000,0.5000,401.341,693.193
DIAGNOSTIC,HDFS->OpenStack[seed201][surprisal],SMA_alert,Retrieval collapse: predicted only 'Anomaly' sessions,ALERT,ALERT,ALERT,0.000,0.000
LogHub,HDFS->OpenStack[seed201][surprisal],BM25,0.3333,0.5000,0.5000,0.5000,38.785,43.585
DIAGNOSTIC,HDFS->OpenStack[seed201][surprisal],BM25_alert,Retrieval collapse: predicted only 'Anomaly' sessions,ALERT,ALERT,ALERT,0.000,0.000
LogHub,HDFS->OpenStack[seed201][surprisal],Dense RAG,0.3837,0.4950,0.4980,0.4955,27.202,31.963
LogHub,HDFS->OpenStack[seed201][surprisal],KG-PPR Proxy,0.3333,0.5000,0.4980,0.5000,8.745,10.111
DIAGNOSTIC,HDFS->OpenStack[seed201][surprisal],KG-PPR Proxy_alert,Retrieval collapse: predicted only 'Anomaly' sessions,ALERT,ALERT,ALERT,0.000,0.000
LogHub,HDFS->OpenStack[seed201][surprisal],HippoRAG,0.3333,0.5000,0.5000,0.5000,66.735,355.366
DIAGNOSTIC,HDFS->OpenStack[seed201][surprisal],HippoRAG_alert,Retrieval collapse: predicted only 'Anomaly' sessions,ALERT,ALERT,ALERT,0.000,0.000
LogHub,HDFS->OpenStack[seed201][surprisal],Hybrid-RRF,0.3333,0.4950,0.5030,0.4990,65.553,72.446
