seed,leg,stratum,method,query_id,family,true_label,pred_label,hit@1,hit@5,hit@10
201,HDFS_family_common,common,SMA,blk_-6108342177786957166,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-6108342177786957166,ServeBlockException,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_-6108342177786957166,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,SMA,blk_4118598497006001462,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_4118598497006001462,other_anomaly,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_4118598497006001462,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_7804990296729770124,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_7804990296729770124,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,Dense RAG,blk_7804990296729770124,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_6183322254807467499,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_6183322254807467499,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_6183322254807467499,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-5845210025636819050,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-5845210025636819050,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-5845210025636819050,StreamReadFailure,,,,0.0,
201,HDFS_family_rare,rare,SMA,blk_7836674250317277707,RedundantAddStoredBlock,,,,1.0,
201,HDFS_family_rare,rare,BM25,blk_7836674250317277707,RedundantAddStoredBlock,,,,0.0,
201,HDFS_family_rare,rare,Dense RAG,blk_7836674250317277707,RedundantAddStoredBlock,,,,0.0,
201,HDFS_family_common,common,SMA,blk_-2927377996586846169,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-2927377996586846169,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-2927377996586846169,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,SMA,blk_4873479714684959004,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_4873479714684959004,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_4873479714684959004,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-1263632713419886951,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-1263632713419886951,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-1263632713419886951,StreamReadFailure,,,,0.4,
201,HDFS_family_common,common,SMA,blk_309786725877302321,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_309786725877302321,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_309786725877302321,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_8402309860468067106,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8402309860468067106,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_8402309860468067106,StreamReadFailure,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-3067166985660621905,other_anomaly,,,,0.8,
201,HDFS_family_common,common,BM25,blk_-3067166985660621905,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_-3067166985660621905,other_anomaly,,,,0.4,
201,HDFS_family_common,common,SMA,blk_8706736060472444258,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,BM25,blk_8706736060472444258,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_8706736060472444258,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,SMA,blk_6514604920697791423,DeleteBlockNotFound,,,,0.8,
201,HDFS_family_common,common,BM25,blk_6514604920697791423,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_6514604920697791423,DeleteBlockNotFound,,,,0.4,
201,HDFS_family_common,common,SMA,blk_4648059415230822980,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_4648059415230822980,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_4648059415230822980,StreamReadFailure,,,,0.4,
201,HDFS_family_common,common,SMA,blk_9075186058745327157,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_9075186058745327157,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_9075186058745327157,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_7329687763235271927,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_7329687763235271927,other_anomaly,,,,0.0,
201,HDFS_family_common,common,Dense RAG,blk_7329687763235271927,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_-1191019459901968585,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-1191019459901968585,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-1191019459901968585,ServeBlockException,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-1960006978397980138,other_anomaly,,,,0.0,
201,HDFS_family_common,common,BM25,blk_-1960006978397980138,other_anomaly,,,,0.0,
201,HDFS_family_common,common,Dense RAG,blk_-1960006978397980138,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_157743675689616381,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_157743675689616381,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_157743675689616381,StreamReadFailure,,,,0.8,
201,HDFS_family_common,common,SMA,blk_-1906484319097298067,other_anomaly,,,,0.4,
201,HDFS_family_common,common,BM25,blk_-1906484319097298067,other_anomaly,,,,0.2,
201,HDFS_family_common,common,Dense RAG,blk_-1906484319097298067,other_anomaly,,,,1.0,
201,HDFS_family_common,common,SMA,blk_9154542182486651656,ServeBlockException,,,,0.8,
201,HDFS_family_common,common,BM25,blk_9154542182486651656,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_9154542182486651656,ServeBlockException,,,,0.4,
201,HDFS_family_common,common,SMA,blk_8230174028369191163,DeleteBlockNotFound,,,,1.0,
201,HDFS_family_common,common,BM25,blk_8230174028369191163,DeleteBlockNotFound,,,,0.6,
201,HDFS_family_common,common,Dense RAG,blk_8230174028369191163,DeleteBlockNotFound,,,,0.2,
201,HDFS_family_common,common,SMA,blk_-496692173417080186,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-496692173417080186,ServeBlockException,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_-496692173417080186,ServeBlockException,,,,0.4,
201,HDFS_family_common,common,SMA,blk_-640964785530743650,other_anomaly,,,,1.0,
201,HDFS_family_common,common,BM25,blk_-640964785530743650,other_anomaly,,,,0.4,
201,HDFS_family_common,common,Dense RAG,blk_-640964785530743650,other_anomaly,,,,0.4,
201,HDFS_family_common,common,SMA,blk_4054061801436713948,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_4054061801436713948,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,Dense RAG,blk_4054061801436713948,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,SMA,blk_2921131800553640617,StreamReadFailure,,,,1.0,
201,HDFS_family_common,common,BM25,blk_2921131800553640617,StreamReadFailure,,,,1.0,
