task,leg,method,metric,mean,sd,n_seeds,per_seed
t2,BGL_triage,BM25,hit@1,0.9550,0.0094,5,201:0.9500;202:0.9650;203:0.9450;204:0.9500;205:0.9650
t2,BGL_triage,BM25,hit@10,0.9587,0.0033,5,201:0.9605;202:0.9565;203:0.9575;204:0.9555;205:0.9635
t2,BGL_triage,BM25,hit@5,0.9598,0.0045,5,201:0.9610;202:0.9580;203:0.9620;204:0.9530;205:0.9650
t2,BGL_triage,BM25,macro_f1,0.9810,0.0096,5,201:0.9750;202:0.9799;203:0.9950;204:0.9700;205:0.9849
t2,BGL_triage,Dense RAG,hit@1,0.9920,0.0027,5,201:0.9950;202:0.9900;203:0.9950;204:0.9900;205:0.9900
t2,BGL_triage,Dense RAG,hit@10,0.9768,0.0087,5,201:0.9860;202:0.9655;203:0.9700;204:0.9825;205:0.9800
t2,BGL_triage,Dense RAG,hit@5,0.9834,0.0048,5,201:0.9910;202:0.9800;203:0.9790;204:0.9820;205:0.9850
t2,BGL_triage,Dense RAG,macro_f1,0.9880,0.0045,5,201:0.9900;202:0.9900;203:0.9900;204:0.9800;205:0.9900
t2,BGL_triage,HippoRAG,hit@1,0.7030,0.1368,5,201:0.7650;202:0.6200;203:0.6850;204:0.5450;205:0.9000
t2,BGL_triage,HippoRAG,hit@10,0.7036,0.0295,5,201:0.7160;202:0.6635;203:0.6995;204:0.6950;205:0.7440
t2,BGL_triage,HippoRAG,hit@5,0.7056,0.0744,5,201:0.7290;202:0.6300;203:0.7330;204:0.6320;205:0.8040
t2,BGL_triage,HippoRAG,macro_f1,0.6878,0.1680,5,201:0.7879;202:0.5196;203:0.7362;204:0.5078;205:0.8875
t2,BGL_triage,Hybrid+Rerank,hit@1,0.9830,0.0152,5,201:0.9950;202:0.9650;203:1.0000;204:0.9850;205:0.9700
t2,BGL_triage,Hybrid+Rerank,hit@10,0.9692,0.0091,5,201:0.9810;202:0.9555;203:0.9705;204:0.9700;205:0.9690
t2,BGL_triage,Hybrid+Rerank,hit@5,0.9744,0.0092,5,201:0.9840;202:0.9640;203:0.9800;204:0.9790;205:0.9650
t2,BGL_triage,Hybrid+Rerank,macro_f1,0.9799,0.0118,5,201:0.9850;202:0.9900;203:0.9849;204:0.9800;205:0.9599
t2,BGL_triage,Hybrid-RRF,hit@1,0.9920,0.0076,5,201:1.0000;202:0.9900;203:1.0000;204:0.9850;205:0.9850
t2,BGL_triage,Hybrid-RRF,hit@10,0.9690,0.0065,5,201:0.9765;202:0.9620;203:0.9630;204:0.9695;205:0.9740
t2,BGL_triage,Hybrid-RRF,hit@5,0.9816,0.0079,5,201:0.9930;202:0.9780;203:0.9780;204:0.9730;205:0.9860
t2,BGL_triage,Hybrid-RRF,macro_f1,0.9880,0.0045,5,201:0.9900;202:0.9900;203:0.9900;204:0.9799;205:0.9900
t2,BGL_triage,KG-PPR Proxy,hit@1,0.9470,0.0266,5,201:0.9850;202:0.9300;203:0.9500;204:0.9550;205:0.9150
t2,BGL_triage,KG-PPR Proxy,hit@10,0.9034,0.0182,5,201:0.9120;202:0.8895;203:0.8970;204:0.9310;205:0.8875
t2,BGL_triage,KG-PPR Proxy,hit@5,0.9130,0.0213,5,201:0.9250;202:0.9080;203:0.9000;204:0.9430;205:0.8890
t2,BGL_triage,KG-PPR Proxy,macro_f1,0.9407,0.0293,5,201:0.9599;202:0.9193;203:0.8998;204:0.9647;205:0.9599
t2,BGL_triage,SMA,hit@1,0.9910,0.0042,5,201:0.9850;202:0.9950;203:0.9950;204:0.9900;205:0.9900
t2,BGL_triage,SMA,hit@10,0.9684,0.0072,5,201:0.9785;202:0.9630;203:0.9650;204:0.9620;205:0.9735
t2,BGL_triage,SMA,hit@5,0.9806,0.0064,5,201:0.9790;202:0.9890;203:0.9770;204:0.9730;205:0.9850
t2,BGL_triage,SMA,macro_f1,0.9859,0.0109,5,201:0.9900;202:1.0000;203:0.9849;204:0.9699;205:0.9849
t2,HDFS_family_common,BM25,hit@5,0.6289,0.0364,5,201:0.6583;202:0.5720;203:0.6563;204:0.6141;205:0.6438
t2,HDFS_family_common,Dense RAG,hit@5,0.5218,0.0381,5,201:0.5010;202:0.4920;203:0.5650;204:0.5616;205:0.4896
t2,HDFS_family_common,SMA,hit@5,0.7726,0.0384,5,201:0.8039;202:0.7160;203:0.7670;204:0.7636;205:0.8125
t2,HDFS_family_rare,BM25,hit@5,0.1267,0.0683,5,201:0.0667;202:0.2000;203:0.0667;204:0.1000;205:0.2000
t2,HDFS_family_rare,Dense RAG,hit@5,0.0347,0.0357,5,201:0.0000;202:0.0800;203:0.0000;204:0.0333;205:0.0600
t2,HDFS_family_rare,SMA,hit@5,0.6807,0.2049,5,201:0.9333;202:0.6800;203:0.4000;204:0.5833;205:0.8067
