leg,fold,method,query_id,category,available,excluded,hit@1,hit@5
bugsinpy_lopo,PySnooper,SMA,PySnooper/1,other,293,True,,
bugsinpy_lopo,PySnooper,BM25,PySnooper/1,other,293,True,,
bugsinpy_lopo,PySnooper,Dense RAG,PySnooper/1,other,293,True,,
bugsinpy_lopo,PySnooper,SMA,PySnooper/2,type-coercion,25,False,0.0,0.0
bugsinpy_lopo,PySnooper,BM25,PySnooper/2,type-coercion,25,False,0.0,0.0
bugsinpy_lopo,PySnooper,Dense RAG,PySnooper/2,type-coercion,25,False,0.0,0.0
bugsinpy_lopo,PySnooper,SMA,PySnooper/3,other,293,True,,
bugsinpy_lopo,PySnooper,BM25,PySnooper/3,other,293,True,,
bugsinpy_lopo,PySnooper,Dense RAG,PySnooper/3,other,293,True,,
bugsinpy_lopo,ansible,SMA,ansible/1,add-null-check,77,False,1.0,0.6
bugsinpy_lopo,ansible,BM25,ansible/1,add-null-check,77,False,1.0,0.4
bugsinpy_lopo,ansible,Dense RAG,ansible/1,add-null-check,77,False,0.0,0.2
bugsinpy_lopo,ansible,SMA,ansible/2,api-substitution,25,False,0.0,0.0
bugsinpy_lopo,ansible,BM25,ansible/2,api-substitution,25,False,0.0,0.2
bugsinpy_lopo,ansible,Dense RAG,ansible/2,api-substitution,25,False,0.0,0.0
bugsinpy_lopo,ansible,SMA,ansible/3,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/3,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/3,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/4,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/4,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/4,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/5,api-substitution,25,False,0.0,0.4
bugsinpy_lopo,ansible,BM25,ansible/5,api-substitution,25,False,0.0,0.2
bugsinpy_lopo,ansible,Dense RAG,ansible/5,api-substitution,25,False,0.0,0.0
bugsinpy_lopo,ansible,SMA,ansible/6,add-null-check,77,False,0.0,0.0
bugsinpy_lopo,ansible,BM25,ansible/6,add-null-check,77,False,1.0,0.4
bugsinpy_lopo,ansible,Dense RAG,ansible/6,add-null-check,77,False,0.0,0.2
bugsinpy_lopo,ansible,SMA,ansible/7,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/7,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/7,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/8,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/8,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/8,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/9,add-null-check,77,False,1.0,0.4
bugsinpy_lopo,ansible,BM25,ansible/9,add-null-check,77,False,0.0,0.4
bugsinpy_lopo,ansible,Dense RAG,ansible/9,add-null-check,77,False,0.0,0.2
bugsinpy_lopo,ansible,SMA,ansible/10,add-null-check,77,False,1.0,0.6
bugsinpy_lopo,ansible,BM25,ansible/10,add-null-check,77,False,0.0,0.4
bugsinpy_lopo,ansible,Dense RAG,ansible/10,add-null-check,77,False,1.0,0.2
bugsinpy_lopo,ansible,SMA,ansible/11,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/11,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/11,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/12,api-substitution,25,False,0.0,0.6
bugsinpy_lopo,ansible,BM25,ansible/12,api-substitution,25,False,0.0,0.0
bugsinpy_lopo,ansible,Dense RAG,ansible/12,api-substitution,25,False,0.0,0.0
bugsinpy_lopo,ansible,SMA,ansible/13,exception-handling,33,False,1.0,0.4
bugsinpy_lopo,ansible,BM25,ansible/13,exception-handling,33,False,0.0,0.0
bugsinpy_lopo,ansible,Dense RAG,ansible/13,exception-handling,33,False,0.0,0.0
bugsinpy_lopo,ansible,SMA,ansible/14,exception-handling,33,False,1.0,0.8
bugsinpy_lopo,ansible,BM25,ansible/14,exception-handling,33,False,0.0,0.0
bugsinpy_lopo,ansible,Dense RAG,ansible/14,exception-handling,33,False,1.0,0.2
bugsinpy_lopo,ansible,SMA,ansible/15,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/15,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/15,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/16,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/16,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/16,other,287,True,,
bugsinpy_lopo,ansible,SMA,ansible/17,type-coercion,25,False,1.0,0.2
bugsinpy_lopo,ansible,BM25,ansible/17,type-coercion,25,False,0.0,0.0
bugsinpy_lopo,ansible,Dense RAG,ansible/17,type-coercion,25,False,0.0,0.0
bugsinpy_lopo,ansible,SMA,ansible/18,other,287,True,,
bugsinpy_lopo,ansible,BM25,ansible/18,other,287,True,,
bugsinpy_lopo,ansible,Dense RAG,ansible/18,other,287,True,,
bugsinpy_lopo,black,SMA,black/1,add-null-check,77,False,1.0,0.2
bugsinpy_lopo,black,BM25,black/1,add-null-check,77,False,0.0,0.4
bugsinpy_lopo,black,Dense RAG,black/1,add-null-check,77,False,0.0,0.2
bugsinpy_lopo,black,SMA,black/2,other,282,True,,
bugsinpy_lopo,black,BM25,black/2,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/2,other,282,True,,
bugsinpy_lopo,black,SMA,black/3,other,282,True,,
bugsinpy_lopo,black,BM25,black/3,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/3,other,282,True,,
bugsinpy_lopo,black,SMA,black/4,add-null-check,77,False,1.0,0.8
bugsinpy_lopo,black,BM25,black/4,add-null-check,77,False,0.0,0.4
bugsinpy_lopo,black,Dense RAG,black/4,add-null-check,77,False,0.0,0.2
bugsinpy_lopo,black,SMA,black/5,condition-strengthening,20,False,0.0,0.0
bugsinpy_lopo,black,BM25,black/5,condition-strengthening,20,False,0.0,0.0
bugsinpy_lopo,black,Dense RAG,black/5,condition-strengthening,20,False,0.0,0.0
bugsinpy_lopo,black,SMA,black/6,add-null-check,77,False,1.0,0.6
bugsinpy_lopo,black,BM25,black/6,add-null-check,77,False,1.0,0.4
bugsinpy_lopo,black,Dense RAG,black/6,add-null-check,77,False,0.0,0.0
bugsinpy_lopo,black,SMA,black/7,other,282,True,,
bugsinpy_lopo,black,BM25,black/7,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/7,other,282,True,,
bugsinpy_lopo,black,SMA,black/8,other,282,True,,
bugsinpy_lopo,black,BM25,black/8,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/8,other,282,True,,
bugsinpy_lopo,black,SMA,black/9,other,282,True,,
bugsinpy_lopo,black,BM25,black/9,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/9,other,282,True,,
bugsinpy_lopo,black,SMA,black/10,other,282,True,,
bugsinpy_lopo,black,BM25,black/10,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/10,other,282,True,,
bugsinpy_lopo,black,SMA,black/11,type-coercion,24,False,0.0,0.0
bugsinpy_lopo,black,BM25,black/11,type-coercion,24,False,0.0,0.0
bugsinpy_lopo,black,Dense RAG,black/11,type-coercion,24,False,0.0,0.0
bugsinpy_lopo,black,SMA,black/12,other,282,True,,
bugsinpy_lopo,black,BM25,black/12,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/12,other,282,True,,
bugsinpy_lopo,black,SMA,black/13,other,282,True,,
bugsinpy_lopo,black,BM25,black/13,other,282,True,,
bugsinpy_lopo,black,Dense RAG,black/13,other,282,True,,
bugsinpy_lopo,black,SMA,black/14,type-coercion,24,False,0.0,0.0
bugsinpy_lopo,black,BM25,black/14,type-coercion,24,False,1.0,0.2
bugsinpy_lopo,black,Dense RAG,black/14,type-coercion,24,False,0.0,0.0
bugsinpy_lopo,black,SMA,black/15,default-arg-change,12,False,0.0,0.6
bugsinpy_lopo,black,BM25,black/15,default-arg-change,12,False,1.0,0.6
